timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
jun/22;PT3130;Patrol;Patrol 24M;0;417,4;0;2,2;55,3;0;24,6;0;29,2;34,6;24,6;63,8;88,4;417,4;563,3;;84,30%;87,90%;0,9;;4;2;6;104,4;6,2;69,6;22,1
jun/22;PT3131;Patrol;Patrol 24M;0;299,8;0;0,8;56,3;0;108,9;28;35,4;34,1;136,9;69,5;206,4;299,8;563,3;;63,40%;84,00%;0,8;;6;3;9;50;22,8;33,3;34,4
jun/22;PT3132;Patrol;Patrol 24M;0;477,6;0;1;54,8;0;14,8;0;9,4;5,7;14,8;15,1;29,9;477,6;563,3;;94,70%;89,50%;0,9;;4;3;7;119,4;3,7;68,2;7,5
jun/22;TE2923;Trator (Esteira);Caterpillar D11R;0;82,8;0;0;11,2;0;467,9;0;1,4;0;467,9;1,4;469,3;82,8;563,3;;16,70%;88,10%;0,9;;1;1;2;82,8;467,9;41,4;469,3
jun/22;TE2925;Trator (Esteira);Caterpillar D11R;0;0;0;0;0;0;0;0;563,3;0;0;563,3;563,3;0;563,3;;0,00%;0,00%;0;;0;1;1;0;0;0;0
jun/22;TE2926;Trator (Esteira);Caterpillar D11R;0,1;302,4;0;0,4;64,9;0;193,8;0;1,8;0;193,8;1,8;195,5;302,5;563,3;;65,30%;82,30%;0,8;;8;1;9;37,8;24,2;33,6;24,4
jun/22;TE2927;Trator (Esteira);Caterpillar D11R;0;100,8;0;0;24,9;0;15,3;0;422,3;0;15,3;422,3;437,6;100,8;563,3;;22,30%;80,20%;0,8;;4;1;5;25,2;3,8;20,2;109,4
jun/22;TE2928;Trator (Esteira);Caterpillar D11R;0;286,1;0;0;54,2;0;14,2;0;208,8;0;14,2;208,8;223;286,1;563,3;;60,40%;84,10%;0,8;;5;1;6;57,2;2,8;47,7;44,6
jun/22;TE2930;Trator (Esteira);Caterpillar D11R;0,9;398,4;0;0;84,4;0;46,8;0;1,5;31,4;46,8;33;79,7;399,3;563,3;;85,80%;82,60%;0,8;;12;3;15;33,3;3,9;26,6;6,6
jun/22;TE2931;Trator (Esteira);Caterpillar D11R;9,2;360,9;0;0;118,8;1,1;61,7;0;1,6;10;61,7;11,7;73,4;371,2;563,3;;87,00%;75,80%;0,8;;13;3;16;28,6;4,7;23,2;5,6
